BELGRADE_cloud_cover,BELGRADE_global_radiation,BELGRADE_humidity,BELGRADE_precipitation,BELGRADE_pressure,BELGRADE_sunshine,BELGRADE_temp_max,BELGRADE_temp_mean,BELGRADE_temp_min
8,0.24,0.9,0.0,1.0134,0.0,4.2,3.3,2.0
8,0.24,0.95,0.68,1.0142,0.0,3.5,0.6,0.0
4,0.67,0.86,0.0,1.0216,3.7,3.6,1.1,0.0
4,0.79,0.9,0.0,1.0145,5.7,5.2,1.4,-0.9
8,0.24,0.98,0.0,1.0083,0.0,2.6,1.6,0.0
8,0.24,0.92,0.1,1.0082,0.0,2.7,1.9,1.3
8,0.24,0.93,0.01,1.0177,0.0,2.2,1.7,0.7
8,0.24,0.9,0.0,1.0184,0.0,3.4,2.9,1.4
7,0.24,0.85,0.0,1.0204,0.0,4.3,2.8,1.8
7,0.25,0.76,0.0,1.0157,0.0,7.7,5.8,1.2
2,0.92,0.67,0.0,1.0115,7.7,15.4,10.1,5.5
5,0.73,0.64,0.02,1.0064,4.3,13.9,10.9,6.6
6,0.58,0.83,0.0,1.0137,2.2,11.3,7.5,6.3
7,0.25,0.88,0.01,1.0201,0.0,6.9,4.3,3.5
6,0.76,0.83,0.0,1.0165,4.5,10.2,5.2,1.5
8,0.48,0.89,0.0,1.0187,1.1,5.7,3.2,1.4
8,0.26,0.88,0.0,1.0169,0.0,3.7,3.3,2.0
8,0.26,0.88,0.08,1.0181,0.0,3.9,3.5,2.7
2,0.83,0.72,0.01,1.0192,5.3,9.0,4.3,0.4
8,0.26,0.86,0.69,1.0261,0.0,6.8,3.1,1.5
3,0.83,0.81,0.0,1.0355,5.1,2.2,-1.4,-4.1
0,0.91,0.78,0.0,1.0324,6.4,1.0,-2.7,-6.6
8,0.27,0.91,0.12,1.0302,0.0,-1.0,-1.7,-4.1
8,0.27,0.86,0.01,1.0235,0.0,1.6,0.4,-1.2
