MADRID_cloud_cover,MADRID_global_radiation,MADRID_humidity,MADRID_precipitation,MADRID_pressure,MADRID_sunshine,MADRID_temp_max,MADRID_temp_mean,MADRID_temp_min
2,3.26,0.45,0.0,1.0188,12.3,30.2,24.1,18.0
2,3.46,0.26,0.0,1.0175,13.6,31.1,25.0,18.9
2,3.5,0.31,0.0,1.0193,13.9,30.3,22.9,15.5
1,3.48,0.36,0.0,1.0174,13.8,32.0,25.6,19.2
3,3.4,0.4,0.0,1.0162,13.3,33.8,27.4,21.0
3,2.85,0.37,0.0,1.0141,10.0,34.8,28.9,23.0
3,3.29,0.35,0.0,1.0135,12.7,36.0,28.4,20.8
3,2.94,0.35,0.43,1.0124,10.6,36.0,28.1,20.2
4,3.03,0.57,0.15,1.0102,11.2,30.0,25.2,20.4
3,3.11,0.51,0.0,1.0129,11.7,28.2,22.6,17.0
2,3.34,0.45,0.0,1.0158,13.2,27.6,22.6,17.6
1,3.43,0.36,0.0,1.0189,13.8,27.4,21.3,15.2
3,2.85,0.39,0.0,1.0166,10.2,30.0,23.5,17.0
0,3.3,0.4,0.0,1.0113,13.1,31.0,25.2,19.4
4,3.03,0.45,0.0,1.0109,11.4,26.2,21.7,17.2
3,3.11,0.49,0.0,1.0153,12.0,24.6,20.5,16.4
4,3.28,0.49,0.0,1.0152,13.1,27.4,21.2,15.0
5,3.0,0.4,0.0,1.0132,11.4,26.0,20.9,15.8
3,3.14,0.37,0.0,1.0152,12.3,25.9,20.7,15.5
1,3.3,0.39,0.0,1.0155,13.4,28.0,22.1,16.2
2,3.17,0.45,0.0,1.0133,12.6,30.2,23.6,17.0
4,3.02,0.38,0.02,1.0106,11.7,26.4,21.3,16.2
3,3.04,0.36,0.0,1.0158,11.9,24.4,18.7,13.0
5,2.81,0.34,0.0,1.0117,10.5,26.5,21.0,15.5
0,3.22,0.45,0.0,1.0116,13.2,27.8,21.8,15.8
0,3.19,0.41,0.0,1.0141,13.1,30.3,23.4,16.5
1,3.14,0.48,0.0,1.0123,12.8,32.2,25.0,17.8
4,3.07,0.49,0.78,1.009,12.4,27.6,23.5,19.4
3,2.75,0.7,0.19,1.0113,10.4,22.6,19.3,16.0
0,3.13,0.52,0.0,1.0192,13.0,25.0,19.0,13.0
0,3.09,0.45,0.0,1.0185,12.8,28.6,22.7,16.8
0,3.08,0.36,0.0,1.015,12.8,32.5,25.4,18.3
0,3.1,0.38,0.0,1.0161,13.0,33.3,26.4,19.5
0,3.06,0.35,0.0,1.0175,12.8,33.6,25.9,18.2
0,3.05,0.34,0.0,1.0154,12.8,31.4,24.5,17.6
2,2.7,0.45,0.0,1.0124,10.6,28.0,23.4,18.8
5,2.51,0.4,0.0,1.0126,9.4,24.9,19.7,14.5
5,2.11,0.3,0.0,1.0144,7.0,27.0,21.5,16.0
0,2.98,0.33,0.0,1.0207,12.7,30.0,22.0,14.0
0,2.94,0.25,0.0,1.0196,12.5,32.2,25.2,18.2
0,2.93,0.32,0.0,1.0162,12.5,30.7,24.9,19.1
1,2.82,0.35,0.0,1.0127,11.9,30.8,24.1,17.4
6,2.3,0.41,0.0,1.0115,8.4,28.7,23.0,17.3
0,2.81,0.46,0.0,1.0164,12.3,29.8,23.7,17.6
0,2.77,0.44,0.0,1.0152,12.1,29.6,23.3,17.0
6,2.0,0.4,0.02,1.0116,6.6,27.0,22.2,17.4
0,2.71,0.41,0.0,1.0175,11.8,22.5,18.0,13.5
1,2.63,0.41,0.0,1.0216,11.3,23.7,17.6,11.5
0,2.7,0.35,0.0,1.0206,12.0,27.4,19.9,12.4
0,2.64,0.47,0.0,1.018,11.6,29.0,23.3,17.6
0,2.62,0.36,0.0,1.0172,11.6,30.2,23.1,16.0
2,2.49,0.5,0.0,1.0189,10.7,29.8,23.4,17.0
1,2.5,0.48,0.0,1.0173,10.9,30.6,24.2,17.8
0,2.54,0.38,0.0,1.0181,11.3,31.2,24.6,18.0
0,2.45,0.39,0.0,1.018,10.7,32.3,24.9,17.5
6,1.83,0.38,0.0,1.0141,6.2,32.0,26.1,20.2
8,0.84,0.5,0.14,1.0065,0.7,24.0,19.6,15.2
4,2.24,0.58,0.0,1.0085,9.4,18.4,14.6,10.8
8,0.58,0.75,0.38,1.0119,0.0,13.6,12.2,10.8
4,2.15,0.58,0.0,1.0136,8.9,21.4,16.4,11.4
2,2.32,0.58,0.0,1.0197,10.4,24.6,18.8,13.0
3,2.36,0.51,0.0,1.0213,10.9,22.8,17.6,12.4
4,2.34,0.51,0.0,1.0201,10.8,22.4,16.5,10.6
0,2.36,0.39,0.0,1.0174,11.1,26.2,18.7,11.2
6,1.65,0.5,0.0,1.0188,5.7,26.4,20.7,15.0
3,2.18,0.55,0.0,1.0203,9.9,26.7,22.0,17.3
4,2.04,0.55,0.0,1.0171,8.9,25.0,20.8,16.6
7,1.09,0.7,0.05,1.0167,2.3,20.6,17.1,13.6
7,1.84,0.65,0.0,1.0145,7.5,20.6,17.0,13.4
