BASEL_cloud_cover,BASEL_global_radiation,BASEL_humidity,BASEL_precipitation,BASEL_pressure,BASEL_sunshine,BASEL_temp_max,BASEL_temp_mean,BASEL_temp_min
8,1.14,0.81,0.24,1.018,2.2,20.7,14.1,12.0
6,1.8,0.81,0.0,1.018,7.5,21.0,13.2,9.1
7,1.27,0.85,0.02,1.018,3.2,19.2,13.6,6.9
8,0.51,0.9,0.75,1.018,0.0,14.9,13.1,11.9
6,0.75,0.87,0.05,1.018,0.5,13.3,9.0,6.5
7,0.5,0.84,0.01,1.018,0.0,11.6,9.4,5.9
1,1.89,0.82,0.0,1.018,9.3,18.0,9.5,3.2
7,1.59,0.81,0.0,1.018,6.4,19.1,11.5,3.6
6,1.2,0.89,0.0,1.018,3.2,19.3,12.3,6.6
6,1.65,0.88,0.0,1.018,7.3,18.2,12.5,9.6
7,1.2,0.88,0.0,1.018,3.4,16.2,12.1,7.9
6,1.19,0.81,0.0,1.018,3.4,17.6,11.7,7.2
8,0.59,0.87,0.86,1.018,0.2,13.1,10.4,6.8
6,0.45,0.94,0.02,1.018,0.0,13.1,9.4,6.8
8,0.45,0.94,1.08,1.018,0.0,11.0,10.0,6.5
6,1.44,0.79,0.0,1.018,6.2,20.1,12.5,8.6
4,1.31,0.77,0.39,1.018,5.0,20.2,13.0,5.7
7,1.25,0.84,0.08,1.018,4.6,22.2,15.2,10.1
6,0.5,0.89,0.04,1.018,0.1,17.6,13.4,10.7
6,1.43,0.82,0.0,1.018,6.7,22.7,13.8,8.1
8,0.41,0.93,0.32,1.018,0.0,15.3,12.5,8.3
8,0.61,0.84,0.15,1.018,0.5,15.2,12.1,10.1
5,1.3,0.83,0.54,1.018,5.8,19.1,12.4,9.8
8,0.62,0.9,0.69,1.018,0.6,11.4,8.9,6.6
7,0.76,0.67,0.14,1.018,1.4,14.2,9.9,7.1
8,0.38,0.81,0.14,1.018,0.0,10.7,8.4,6.0
7,0.99,0.81,0.01,1.018,3.3,10.2,5.8,4.0
3,1.49,0.8,0.0,1.018,9.1,11.9,5.5,1.8
8,0.99,0.81,0.1,1.018,3.5,11.4,4.6,-1.2
8,0.36,0.96,2.62,1.018,0.0,4.4,2.7,2.0
8,0.36,0.94,0.74,1.018,0.0,6.2,4.6,1.4
8,0.35,0.89,0.01,1.018,0.0,7.6,5.4,3.1
4,1.31,0.75,0.0,1.018,7.9,14.7,7.2,2.3
7,0.89,0.78,0.0,1.018,3.1,12.7,8.2,3.3
8,0.34,0.8,0.45,1.018,0.0,11.9,8.9,5.5
7,0.79,0.78,0.0,1.018,2.4,15.2,8.6,6.1
8,0.33,0.86,0.17,1.018,0.0,12.2,8.7,5.3
8,0.32,0.92,0.3,1.018,0.0,11.5,10.0,7.2
6,0.66,0.88,0.39,1.018,1.6,14.9,10.7,7.6
6,0.9,0.86,0.52,1.018,3.9,18.1,11.7,6.8
6,0.85,0.79,0.06,1.018,3.5,15.7,10.2,7.7
3,1.05,0.66,0.0,1.018,6.1,18.6,10.4,5.8
7,0.52,0.8,0.03,1.018,0.8,14.3,8.7,4.4
8,0.77,0.83,0.0,1.018,3.0,18.9,11.0,4.9
6,0.8,0.67,0.02,1.018,3.4,15.2,9.3,6.4
7,0.54,0.84,0.06,1.018,1.1,13.5,8.9,4.8
8,0.47,0.73,0.64,1.018,0.7,18.7,14.6,7.7
6,1.01,0.58,0.0,1.018,6.6,18.1,9.6,4.9
3,0.87,0.6,0.0,1.018,4.8,18.1,10.8,3.9
8,0.42,0.78,1.05,1.018,0.5,12.6,9.1,6.0
7,0.51,0.77,0.0,1.018,1.1,10.7,5.8,2.9
